,deaths,energy_used,kills,missiles_fired,points,run,status,tank,team,,Confidence Value,,0.95,,,,,,,,,
81,5,340,8,47,50,80,winner,red,1,,,,,,,,,,,,,
82,8,340,8,43,28,80,loser,yellow,0,,,,,,,,,,,,,
83,10,540,5,52,6,80,loser,green,1,,,,,,,,,,,,,
84,5,260,3,37,13,79,loser,blue,0,,,,,,,,,,,,,
85,4,260,4,34,22,79,loser,red,1,,,,,,,,,,,,,
86,3,260,8,37,50,79,winner,yellow,0,,,,,,,,,,,,,
87,6,100,3,23,3,79,loser,green,1,,,,,,,,,,,,,
88,7,560,5,30,16,78,loser,blue,0,,,,,,,,,,,,,
89,4,280,7,66,51,78,winner,red,1,,,,,,,,,,,,,
90,6,400,4,38,4,78,loser,yellow,0,,,,,,,,,,,,,
91,5,120,6,21,24,78,loser,green,1,,,,,,,,,,,,,
92,3,260,7,49,52,77,winner,blue,0,,,,,,,,,,,,,
93,6,320,7,68,32,77,loser,red,1,,,,,,,,,,,,,
94,8,1120,5,35,7,77,loser,yellow,0,,,,,,,,,,,,,
95,7,400,5,35,10,77,loser,green,1,,,,,,,,,,,,,
96,8,700,4,29,5,76,loser,blue,0,,,,,,,,,,,,,
97,5,480,3,25,-8,76,loser,red,1,,,,,,,,,,,,,
98,4,340,8,58,51,76,winner,yellow,0,,,,,,,,,,,,,
99,3,460,5,48,41,76,loser,green,1,,,,,,,,,,,,,
100,3,260,2,26,11,75,loser,blue,0,,,,,,,,,,,,,
101,4,280,5,42,32,75,loser,red,1,,,,,,,,,,,,,
102,10,580,9,64,26,75,loser,yellow,0,,,,,,,,,,,,,
103,8,620,10,75,50,75,winner,green,1,,,,,,,,,,,,,
104,3,360,3,23,15,74,loser,blue,0,,,,,,,,,,,,,
105,4,380,7,38,40,74,loser,red,1,,,,,,,,,,,,,
106,5,320,6,63,50,74,winner,yellow,0,,,,,,,,,,,,,
107,7,700,3,21,-14,74,loser,green,1,,,,,,,,,,,,,
108,7,460,8,36,32,73,loser,blue,0,,,,,,,,,,,,,
109,8,580,7,58,32,73,loser,red,1,,,,,,,,,,,,,
110,9,620,8,54,31,73,loser,yellow,0,,,,,,,,,,,,,
111,5,320,7,66,51,73,winner,green,1,,,,,,,,,,,,,
112,4,40,3,25,13,72,loser,blue,0,,,,,,,,,,,,,
113,6,380,8,56,51,72,winner,red,1,,,,,,,,,,,,,
114,6,440,7,43,24,72,loser,yellow,0,,,,,,,,,,,,,
115,8,360,7,43,22,72,loser,green,1,,,,,,,,,,,,,
116,3,100,6,35,51,71,winner,blue,0,,,,,,,,,,,,,
117,4,200,2,8,-12,71,loser,red,1,,,,,,,,,,,,,
118,2,100,2,9,4,71,loser,yellow,0,,,,,,,,,,,,,
119,3,240,2,23,4,71,loser,green,1,,,,,,,,,,,,,
120,7,260,4,19,-5,70,loser,blue,0,,,,,,,,,,,,,
121,6,600,2,20,-7,70,loser,red,1,,,,,,,,,,,,,
122,2,1220,7,38,50,70,winner,yellow,0,,,,,,,,,,,,,
123,2,440,4,42,33,70,loser,green,1,,,,,,,,,,,,,
124,4,740,4,16,14,69,loser,blue,0,,,,,,,,,,,,,
125,4,300,3,17,12,69,loser,red,1,,,,,,,,,,,,,
126,7,260,4,19,-4,69,loser,yellow,0,,,,,,,,,,,,,
127,3,240,7,37,51,69,winner,green,1,,,,,,,,,,,,,
128,1,340,2,20,19,68,loser,blue,0,,,,,,,,,,,,,
129,5,840,6,56,50,68,winner,red,1,,,,,,,,,,,,,
130,5,480,4,28,7,68,loser,yellow,0,,,,,,,,,,,,,
131,2,180,2,10,7,68,loser,green,1,,,,,,,,,,,,,
132,4,460,3,32,17,67,loser,blue,0,,,,,,,,,,,,,
133,2,160,4,33,25,67,loser,red,1,,,,,,,,,,,,,
134,5,300,8,58,54,67,winner,yellow,0,,,,,,,,,,,,,
135,8,380,4,27,-9,67,loser,green,1,,,,,,,,,,,,,
136,6,380,6,27,18,66,loser,blue,0,,,,,,,,,,,,,
137,10,220,9,64,40,66,loser,red,1,,,,,,,,,,,,,
138,7,320,8,64,50,66,winner,yellow,0,,,,,,,,,,,,,
139,8,780,8,43,34,66,loser,green,1,,,,,,,,,,,,,
140,3,240,4,25,21,65,loser,blue,0,,,,,,,,,,,,,
141,7,480,3,41,-6,65,loser,red,1,,,,,,,,,,,,,
142,5,340,5,59,40,65,loser,yellow,0,,,,,,,,,,,,,
143,5,640,8,49,51,65,winner,green,1,,,,,,,,,,,,,
144,4,300,5,22,19,64,loser,blue,0,,,,,,,,,,,,,
145,4,220,7,62,51,64,winner,red,1,,,,,,,,,,,,,
146,6,680,4,49,18,64,loser,yellow,0,,,,,,,,,,,,,
147,8,260,6,39,12,64,loser,green,1,,,,,,,,,,,,,
148,5,320,5,41,30,63,loser,blue,0,,,,,,,,,,,,,
149,7,820,9,54,50,63,winner,red,1,,,,,,,,,,,,,
150,7,240,5,51,12,63,loser,yellow,0,,,,,,,,,,,,,
151,7,520,7,79,42,63,loser,green,1,,,,,,,,,,,,,
152,4,220,3,17,7,62,loser,blue,0,,,,,,,,,,,,,
153,4,280,3,26,11,62,loser,red,1,,,,,,,,,,,,,
154,3,180,1,13,-4,62,loser,yellow,0,,,,,,,,,,,,,
155,3,60,7,42,50,62,winner,green,1,,,,,,,,,,,,,
156,1,280,3,23,17,61,loser,blue,0,,,,,,,,,,,,,
157,4,380,5,63,50,61,winner,red,1,,,,,,,,,,,,,
158,8,400,6,48,22,61,loser,yellow,0,,,,,,,,,,,,,
159,5,540,4,37,5,61,loser,green,1,,,,,,,,,,,,,
160,4,120,1,5,-7,60,loser,blue,0,,,,,,,,,,,,,
161,0,240,6,27,51,60,winner,red,1,,,,,,,,,,,,,
162,3,40,1,5,-6,60,loser,yellow,0,,,,,,,,,,,,,
163,3,220,2,24,5,60,loser,green,1,,,,,,,,,,,,,
164,6,220,5,37,21,59,loser,blue,0,,,,,,,,,,,,,
165,5,520,9,60,50,59,winner,red,1,,,,,,,,,,,,,
166,9,960,5,41,17,59,loser,yellow,0,,,,,,,,,,,,,
167,8,300,9,67,46,59,loser,green,1,,,,,,,,,,,,,
168,5,160,3,24,1,58,loser,blue,0,,,,,,,,,,,,,
169,6,180,8,39,51,58,winner,red,1,,,,,,,,,,,,,
170,10,260,9,35,14,58,loser,yellow,0,,,,,,,,,,,,,
171,4,600,5,49,38,58,loser,green,1,,,,,,,,,,,,,
172,6,220,3,23,0,57,loser,blue,0,,,,,,,,,,,,,
173,5,380,4,38,19,57,loser,red,1,,,,,,,,,,,,,
174,3,140,7,47,50,57,winner,yellow,0,,,,,,,,,,,,,
175,3,460,3,15,7,57,loser,green,1,,,,,,,,,,,,,
176,10,340,7,40,17,56,loser,blue,0,,,,,,,,,,,,,
177,9,320,5,40,10,56,loser,red,1,,,,,,,,,,,,,
178,4,80,6,47,41,56,loser,yellow,0,,,,,,,,,,,,,
179,3,300,8,41,51,56,winner,green,1,,,,,,,,,,,,,
180,6,400,4,29,13,55,loser,blue,0,,,,,,,,,,,,,
181,8,280,4,14,-18,55,loser,red,1,,,,,,,,,,,,,
182,6,220,9,43,53,55,winner,yellow,0,,,,,,,,,,,,,
183,5,1020,8,59,48,55,loser,green,1,,,,,,,,,,,,,
184,9,500,2,20,-22,54,loser,blue,0,,,,,,,,,,,,,
185,6,360,6,66,36,54,loser,red,1,,,,,,,,,,,,,
186,3,240,5,36,37,54,loser,yellow,0,,,,,,,,,,,,,
187,2,460,7,48,53,54,winner,green,1,,,,,,,,,,,,,
188,5,240,2,23,1,53,loser,blue,0,,,,,,,,,,,,,
189,8,500,5,30,9,53,loser,red,1,,,,,,,,,,,,,
190,4,240,6,46,31,53,loser,yellow,0,,,,,,,,,,,,,
191,4,560,8,48,52,53,winner,green,1,,,,,,,,,,,,,
192,2,300,4,18,17,52,loser,blue,0,,,,,,,,,,,,,
193,6,280,6,33,23,52,loser,red,1,,,,,,,,,,,,,
194,8,420,4,43,4,52,loser,yellow,0,,,,,,,,,,,,,
195,6,320,8,49,52,52,winner,green,1,,,,,,,,,,,,,
196,6,200,1,22,-21,51,loser,blue,0,,,,,,,,,,,,,
197,4,560,7,61,50,51,winner,red,1,,,,,,,,,,,,,
198,6,300,7,43,31,51,loser,yellow,0,,,,,,,,,,,,,
199,3,320,5,50,30,51,loser,green,1,,,,,,,,,,,,,
200,7,20,2,12,-18,50,loser,blue,0,,,,,,,,,,,,,
201,9,340,7,41,24,50,loser,red,1,,,,,,,,,,,,,
202,4,340,7,55,48,50,loser,yellow,0,,,,,,,,,,,,,
203,8,440,12,73,52,50,winner,green,1,,,,,,,,,,,,,
204,8,240,5,23,11,49,loser,blue,0,,,,,,,,,,,,,
205,10,280,9,40,29,49,loser,red,1,,,,,,,,,,,,,
