,deaths,energy_used,kills,missiles_fired,points,run,status,tank,team
125,0,120,1,7,5,969,loser,green,1
126,2,0,0,1,-8,969,loser,purple,0
127,0,120,5,22,50,969,winner,blue,1
128,1,120,0,4,-1,968,loser,black,0
129,0,160,5,40,51,968,winner,green,1
130,5,340,0,0,-27,968,loser,purple,0
131,0,20,1,16,7,968,loser,blue,1
132,4,40,1,2,-16,967,loser,black,0
133,0,0,3,13,24,967,loser,green,1
134,4,20,0,1,-19,967,loser,purple,0
135,1,0,5,30,52,967,winner,blue,1
136,2,40,0,0,-11,966,loser,black,0
137,3,20,5,37,51,966,winner,green,1
138,5,100,0,0,-29,966,loser,purple,0
139,2,340,7,28,46,966,loser,blue,1
140,6,240,0,2,-29,965,loser,black,0
141,1,580,6,44,50,965,winner,green,1
142,3,120,0,0,-16,965,loser,purple,0
143,0,0,4,41,43,965,loser,blue,1
144,4,20,0,0,-22,964,loser,black,0
145,1,0,6,26,50,964,winner,green,1
146,5,40,0,0,-25,964,loser,purple,0
147,1,0,5,33,37,964,loser,blue,1
148,6,140,0,0,-34,963,loser,black,0
149,2,0,6,32,50,963,winner,green,1
150,2,60,0,0,-8,963,loser,purple,0
151,1,0,5,23,38,963,loser,blue,1
152,4,20,1,1,-13,962,loser,black,0
153,2,180,6,35,51,962,winner,green,1
154,4,0,0,0,-20,962,loser,purple,0
155,2,120,5,30,33,962,loser,blue,1
156,5,240,2,9,-9,961,loser,black,0
157,3,260,7,50,53,961,winner,green,1
158,2,360,0,7,-8,961,loser,purple,0
159,2,0,4,21,24,961,loser,blue,1
160,4,300,1,8,-8,960,loser,black,0
161,3,180,7,48,52,960,winner,green,1
162,8,200,4,6,-14,960,loser,purple,0
163,3,120,6,25,36,960,loser,blue,1
164,5,0,0,1,-23,959,loser,black,0
165,1,0,4,29,33,959,loser,green,1
166,4,0,0,0,-20,959,loser,purple,0
167,0,80,6,31,52,959,winner,blue,1
168,4,60,0,1,-23,958,loser,black,0
169,0,0,6,34,52,958,winner,green,1
170,5,80,0,0,-25,958,loser,purple,0
171,0,840,3,15,35,958,loser,blue,1
172,6,60,2,4,-17,957,loser,black,0
173,3,80,7,42,50,957,winner,green,1
174,3,340,0,0,-19,957,loser,purple,0
175,1,0,4,33,37,957,loser,blue,1
176,5,100,0,1,-25,956,loser,black,0
177,2,20,7,36,54,956,winner,green,1
178,4,640,2,1,-11,956,loser,purple,0
179,2,100,5,49,36,956,loser,blue,1
180,7,100,0,0,-35,955,loser,black,0
181,2,100,6,37,50,955,winner,green,1
182,3,60,1,1,-9,955,loser,purple,0
183,0,120,5,37,40,955,loser,blue,1
184,3,20,1,0,-9,954,loser,black,0
185,2,20,7,34,51,954,winner,green,1
186,1,20,0,0,-6,954,loser,purple,0
187,3,60,1,20,-4,954,loser,blue,1
188,6,80,1,4,-23,953,loser,black,0
189,2,0,2,15,10,953,loser,green,1
190,1,260,1,0,-3,953,loser,purple,0
191,1,20,6,35,50,953,winner,blue,1
192,3,100,0,1,-15,952,loser,black,0
193,0,100,3,21,26,952,loser,green,1
194,4,20,0,0,-20,952,loser,purple,0
195,1,140,5,46,50,952,winner,blue,1
196,5,60,0,1,-23,951,loser,black,0
197,1,0,6,36,53,951,winner,green,1
198,3,0,0,1,-13,951,loser,purple,0
199,0,80,3,12,20,951,loser,blue,1
200,5,200,0,5,-24,950,loser,black,0
201,0,0,4,21,34,950,loser,green,1
202,4,300,0,1,-18,950,loser,purple,0
203,0,120,5,40,50,950,winner,blue,1
204,4,140,1,0,-14,949,loser,black,0
205,0,160,1,15,10,949,loser,green,1
206,3,0,0,2,-15,949,loser,purple,0
207,2,160,7,33,51,949,winner,blue,1
208,3,200,0,0,-17,948,loser,black,0
209,1,0,5,34,51,948,winner,green,1
210,6,100,1,2,-31,948,loser,purple,0
211,1,0,5,25,46,948,loser,blue,1
212,3,0,0,0,-15,947,loser,black,0
213,2,220,6,38,50,947,winner,green,1
214,6,0,0,0,-30,947,loser,purple,0
215,0,140,5,23,42,947,loser,blue,1
216,4,140,1,0,-14,946,loser,black,0
217,1,0,6,36,50,946,winner,green,1
218,3,20,0,0,-17,946,loser,purple,0
219,2,20,3,18,19,946,loser,blue,1
220,7,60,1,1,-25,945,loser,black,0
221,0,0,6,35,53,945,winner,green,1
222,3,120,1,0,-10,945,loser,purple,0
223,0,0,2,15,16,945,loser,blue,1
224,2,20,0,0,-10,944,loser,black,0
225,1,120,2,18,9,944,loser,green,1
226,3,220,1,1,-10,944,loser,purple,0
227,2,120,6,43,51,944,winner,blue,1
228,4,60,2,4,-6,943,loser,black,0
229,3,160,7,37,52,943,winner,green,1
230,3,40,0,1,-15,943,loser,purple,0
231,3,180,4,28,24,943,loser,blue,1
232,6,520,0,1,-31,942,loser,black,0
233,0,20,5,36,50,942,winner,green,1
234,3,20,1,3,-8,942,loser,purple,0
235,1,40,4,28,36,942,loser,blue,1
236,5,140,0,0,-25,941,loser,black,0
237,1,520,4,38,30,941,loser,green,1
238,2,80,0,0,-12,941,loser,purple,0
239,0,280,4,44,51,941,winner,blue,1
240,4,20,0,1,-22,940,loser,black,0
241,1,20,6,38,51,940,winner,green,1
242,4,40,0,0,-20,940,loser,purple,0
243,2,0,5,32,38,940,loser,blue,1
244,2,80,0,2,-8,939,loser,black,0
245,3,80,8,47,52,939,winner,green,1
246,3,0,1,0,-9,939,loser,purple,0
247,4,140,3,18,6,939,loser,blue,1
248,4,0,0,1,-18,938,loser,black,0
249,0,60,6,34,51,938,winner,green,1
250,1,0,0,0,-5,938,loser,purple,0
251,1,0,0,6,-1,938,loser,blue,1
252,4,40,0,2,-16,937,loser,black,0
253,2,80,5,20,23,937,loser,green,1
254,3,180,0,0,-15,937,loser,purple,0
255,2,0,6,31,50,937,winner,blue,1
256,7,240,0,2,-37,936,loser,black,0
257,1,40,5,42,42,936,loser,green,1
258,2,80,0,0,-10,936,loser,purple,0
259,1,40,6,47,51,936,winner,blue,1
260,5,20,0,0,-22,935,loser,black,0
261,0,200,5,41,51,935,winner,green,1
262,4,80,0,1,-20,935,loser,purple,0
263,1,0,5,13,28,935,loser,blue,1
264,4,140,0,0,-20,934,loser,black,0
265,1,0,6,29,50,934,winner,green,1
266,5,0,0,1,-23,934,loser,purple,0
267,1,20,5,25,32,934,loser,blue,1
268,5,20,0,2,-21,933,loser,black,0
269,3,220,7,39,44,933,loser,green,1
270,4,140,0,0,-20,933,loser,purple,0
271,2,180,7,39,52,933,winner,blue,1
272,3,40,0,0,-15,932,loser,black,0
273,5,0,7,36,37,932,loser,green,1
274,5,360,1,0,-21,932,loser,purple,0
275,3,0,8,36,54,932,winner,blue,1
276,5,60,0,3,-18,931,loser,black,0
277,1,480,8,37,51,931,winner,green,1
278,7,180,2,2,-22,931,loser,purple,0
279,2,20,5,48,39,931,loser,blue,1
280,4,40,0,0,-20,930,loser,black,0
281,2,100,3,16,13,930,loser,green,1
282,2,0,0,1,-8,930,loser,purple,0
283,0,40,5,25,52,930,winner,blue,1
284,5,420,0,0,-28,929,loser,black,0
285,2,180,6,49,47,929,loser,green,1
286,3,180,0,2,-12,929,loser,purple,0
287,2,200,6,42,50,929,winner,blue,1
288,2,0,0,1,-8,928,loser,black,0
289,2,220,7,49,50,928,winner,green,1
290,4,160,0,0,-22,928,loser,purple,0
291,4,160,5,26,32,928,loser,blue,1
292,2,0,0,0,-9,927,loser,black,0
293,0,120,5,22,50,927,winner,green,1
294,2,40,0,0,-10,927,loser,purple,0
295,1,180,1,7,-3,927,loser,blue,1
296,3,0,0,0,-16,926,loser,black,0
297,1,20,3,15,22,926,loser,green,1
298,4,140,0,1,-20,926,loser,purple,0
299,1,60,6,32,53,926,winner,blue,1
300,1,0,0,1,-3,925,loser,black,0
301,0,140,4,29,40,925,loser,green,1
302,8,200,0,1,-40,925,loser,purple,0
303,0,80,5,39,51,925,winner,blue,1
304,3,140,1,1,-7,924,loser,black,0
305,1,0,6,31,50,924,winner,green,1
306,7,300,0,1,-33,924,loser,purple,0
307,1,0,5,25,35,924,loser,blue,1
308,2,100,0,3,-9,923,loser,black,0
309,4,100,4,28,16,923,loser,green,1
310,2,120,0,0,-11,923,loser,purple,0
311,2,140,6,44,51,923,winner,blue,1
312,3,0,1,1,-11,922,loser,black,0
313,0,60,4,42,50,922,winner,green,1
314,3,220,1,5,-4,922,loser,purple,0
315,4,300,4,26,15,922,loser,blue,1
316,0,40,0,1,1,921,loser,black,0
317,2,80,0,4,-11,921,loser,green,1
318,3,180,0,0,-17,921,loser,purple,0
319,0,40,5,21,51,921,winner,blue,1
320,4,40,0,1,-19,920,loser,black,0
321,3,140,4,26,25,920,loser,green,1
322,2,80,0,0,-11,920,loser,purple,0
323,2,20,7,39,51,920,winner,blue,1
324,5,40,1,1,-16,919,loser,black,0
325,2,60,5,40,31,919,loser,green,1
326,4,220,0,0,-20,919,loser,purple,0
327,1,0,6,42,50,919,winner,blue,1
328,3,20,1,2,-9,918,loser,black,0
329,0,0,5,26,51,918,winner,green,1
330,3,120,0,1,-19,918,loser,purple,0
331,1,0,1,5,10,918,loser,blue,1
332,4,80,0,0,-19,917,loser,black,0
333,2,0,7,40,50,917,winner,green,1
334,7,0,1,3,-23,917,loser,purple,0
335,1,0,6,24,43,917,loser,blue,1
336,3,40,0,0,-15,916,loser,black,0
337,0,0,6,28,54,916,winner,green,1
338,3,0,0,0,-13,916,loser,purple,0
339,3,20,3,9,8,916,loser,blue,1
340,3,40,0,1,-13,915,loser,black,0
341,3,60,8,40,50,915,winner,green,1
342,4,20,0,0,-20,915,loser,purple,0
343,2,120,4,32,31,915,loser,blue,1
344,4,200,1,6,-12,914,loser,black,0
345,4,20,8,40,51,914,winner,green,1
346,1,200,0,5,3,914,loser,purple,0
347,4,340,4,13,11,914,loser,blue,1
348,6,300,0,0,-31,913,loser,black,0
349,0,140,5,57,51,913,winner,green,1
350,2,20,0,0,-10,913,loser,purple,0
351,1,180,4,32,35,913,loser,blue,1
352,6,220,0,4,-29,912,loser,black,0
353,0,120,2,16,24,912,loser,green,1
354,3,240,3,8,6,912,loser,purple,0
355,2,260,6,45,50,912,winner,blue,1
356,4,0,0,1,-16,911,loser,black,0
357,2,240,4,22,29,911,loser,green,1
358,4,200,0,1,-21,911,loser,purple,0
359,0,100,6,30,50,911,winner,blue,1
360,4,20,1,0,-14,910,loser,black,0
361,0,0,3,25,27,910,loser,green,1
362,5,80,0,0,-27,910,loser,purple,0
363,1,0,6,31,50,910,winner,blue,1
364,6,340,1,4,-23,909,loser,black,0
365,1,140,6,42,49,909,loser,green,1
366,5,200,1,2,-21,909,loser,purple,0
367,3,20,7,40,51,909,winner,blue,1
368,4,100,1,3,-12,908,loser,black,0
369,2,40,7,44,53,908,winner,green,1
370,5,120,0,0,-25,908,loser,purple,0
371,0,20,3,26,28,908,loser,blue,1
372,3,140,0,1,-16,907,loser,black,0
373,4,120,4,33,17,907,loser,green,1
374,1,0,0,1,-4,907,loser,purple,0
375,2,300,6,34,50,907,winner,blue,1
376,3,0,0,1,-16,906,loser,black,0
377,2,140,6,28,44,906,loser,green,1
378,5,320,0,1,-23,906,loser,purple,0
379,3,140,7,51,51,906,winner,blue,1
380,4,0,0,0,-20,905,loser,black,0
381,2,100,1,4,-1,905,loser,green,1
382,1,0,0,1,-3,905,loser,purple,0
383,0,0,6,27,53,905,winner,blue,1
384,3,140,0,0,-15,904,loser,black,0
385,0,60,1,3,8,904,loser,green,1
386,3,560,0,0,-17,904,loser,purple,0
387,0,0,5,48,51,904,winner,blue,1
388,5,40,0,1,-21,903,loser,black,0
389,0,0,6,21,51,903,winner,green,1
390,3,180,0,0,-17,903,loser,purple,0
391,1,60,3,32,25,903,loser,blue,1
392,4,20,1,4,-8,902,loser,black,0
393,3,220,7,45,50,902,winner,green,1
394,3,0,0,1,-16,902,loser,purple,0
395,2,280,4,43,21,902,loser,blue,1
396,6,80,0,1,-28,901,loser,black,0
397,1,140,2,28,22,901,loser,green,1
398,2,0,1,0,-4,901,loser,purple,0
399,1,220,7,23,52,901,winner,blue,1
400,4,40,0,1,-16,900,loser,black,0
401,1,80,5,45,34,900,loser,green,1
402,5,340,0,0,-25,900,loser,purple,0
403,0,60,5,32,51,900,winner,blue,1
404,7,60,0,3,-31,899,loser,black,0
405,2,60,6,50,44,899,loser,green,1
406,3,320,1,0,-10,899,loser,purple,0
407,2,160,7,35,50,899,winner,blue,1
408,4,160,0,1,-19,898,loser,black,0
409,3,180,6,44,50,898,winner,green,1
410,3,120,0,0,-15,898,loser,purple,0
411,1,160,5,21,33,898,loser,blue,1
412,2,280,0,1,-15,897,loser,black,0
413,4,220,5,36,18,897,loser,green,1
414,3,280,1,1,-7,897,loser,purple,0
415,3,0,6,60,50,897,winner,blue,1
416,2,0,0,0,-11,896,loser,black,0
417,2,0,4,15,26,896,loser,green,1
418,4,120,0,0,-20,896,loser,purple,0
419,3,20,7,38,50,896,winner,blue,1
420,6,180,1,1,-24,895,loser,black,0
421,2,60,6,45,52,895,winner,green,1
422,2,100,1,1,-5,895,loser,purple,0
423,1,20,3,14,14,895,loser,blue,1
424,7,320,2,1,-28,894,loser,black,0
425,0,380,3,54,47,894,loser,green,1
426,2,80,0,0,-9,894,loser,purple,0
427,3,480,7,47,50,894,winner,blue,1
428,4,80,0,1,-18,893,loser,black,0
429,1,180,2,11,12,893,loser,green,1
430,3,0,0,0,-13,893,loser,purple,0
431,0,0,6,32,51,893,winner,blue,1
432,3,40,0,0,-17,892,loser,black,0
433,1,0,3,17,22,892,loser,green,1
434,3,60,0,1,-17,892,loser,purple,0
435,1,40,5,28,50,892,winner,blue,1
436,2,260,0,7,-6,891,loser,black,0
437,1,180,6,42,51,891,winner,green,1
438,2,300,1,12,-2,891,loser,purple,0
439,4,220,2,29,6,891,loser,blue,1
440,0,40,0,0,0,890,loser,black,0
441,0,0,6,29,52,890,winner,green,1
442,6,20,0,1,-28,890,loser,purple,0
443,1,0,1,11,4,890,loser,blue,1
444,5,0,0,3,-19,889,loser,black,0
445,0,0,3,28,33,889,loser,green,1
446,4,0,0,2,-18,889,loser,purple,0
447,1,20,7,26,51,889,winner,blue,1
448,2,20,0,0,-10,888,loser,black,0
449,2,80,2,11,10,888,loser,green,1
450,4,1140,0,0,-21,888,loser,purple,0
451,0,0,6,32,54,888,winner,blue,1
452,1,0,2,1,3,887,loser,black,0
453,2,100,2,13,13,887,loser,green,1
454,5,100,0,1,-25,887,loser,purple,0
455,0,100,4,24,50,887,winner,blue,1
456,4,240,1,1,-14,886,loser,black,0
457,1,80,6,32,40,886,loser,green,1
458,5,280,1,2,-20,886,loser,purple,0
459,4,100,6,40,50,886,winner,blue,1
460,5,20,1,1,-20,885,loser,black,0
461,2,20,4,22,25,885,loser,green,1
462,4,140,0,2,-16,885,loser,purple,0
463,1,0,7,31,51,885,winner,blue,1
464,6,20,1,1,-23,884,loser,black,0
465,0,0,5,33,50,884,winner,green,1
466,4,160,0,1,-19,884,loser,purple,0
467,1,0,5,22,34,884,loser,blue,1
468,5,20,0,1,-25,883,loser,black,0
469,3,180,6,27,42,883,loser,green,1
470,4,80,1,1,-14,883,loser,purple,0
471,1,180,6,29,50,883,winner,blue,1
472,4,20,0,0,-20,882,loser,black,0
473,1,100,4,33,31,882,loser,green,1
474,4,0,0,1,-19,882,loser,purple,0
475,1,140,6,44,50,882,winner,blue,1
476,6,80,1,0,-24,881,loser,black,0
477,0,0,2,17,20,881,loser,green,1
478,2,20,0,0,-11,881,loser,purple,0
479,2,80,7,34,50,881,winner,blue,1
480,5,540,1,0,-20,880,loser,black,0
481,3,160,6,40,40,880,loser,green,1
482,4,160,0,2,-18,880,loser,purple,0
483,2,180,7,43,50,880,winner,blue,1
484,5,40,0,0,-24,879,loser,black,0
485,1,0,6,37,51,879,winner,green,1
486,4,160,1,0,-17,879,loser,purple,0
487,3,100,6,45,38,879,loser,blue,1
488,6,0,0,4,-24,878,loser,black,0
489,0,260,6,44,54,878,winner,green,1
490,3,200,0,0,-17,878,loser,purple,0
491,0,180,3,50,32,878,loser,blue,1
492,7,60,1,1,-28,877,loser,black,0
493,4,240,7,41,44,877,loser,green,1
494,5,60,4,3,-3,877,loser,purple,0
495,4,180,8,36,50,877,winner,blue,1
496,3,160,0,2,-12,876,loser,black,0
497,0,40,7,36,54,876,winner,green,1
498,7,0,0,0,-33,876,loser,purple,0
499,1,100,4,26,37,876,loser,blue,1
500,2,280,0,0,-13,875,loser,black,0
501,3,160,7,39,50,875,winner,green,1
502,4,0,0,1,-18,875,loser,purple,0
503,3,100,5,35,25,875,loser,blue,1
504,2,0,0,0,-10,874,loser,black,0
505,0,40,2,16,19,874,loser,green,1
506,5,20,0,0,-25,874,loser,purple,0
507,1,120,6,33,53,874,winner,blue,1
508,4,20,1,0,-17,873,loser,black,0
509,2,40,3,26,25,873,loser,green,1
510,4,40,1,0,-17,873,loser,purple,0
511,0,0,6,40,54,873,winner,blue,1
512,1,20,0,0,-6,872,loser,black,0
513,2,440,4,29,26,872,loser,green,1
514,6,20,0,2,-28,872,loser,purple,0
515,0,180,5,43,52,872,winner,blue,1
516,4,120,1,1,-16,871,loser,black,0
517,1,0,4,38,33,871,loser,green,1
518,3,280,0,3,-16,871,loser,purple,0
519,3,300,6,47,50,871,winner,blue,1
520,4,40,0,0,-20,870,loser,black,0
521,0,0,6,34,54,870,winner,green,1
522,4,0,0,1,-18,870,loser,purple,0
523,1,40,3,18,21,870,loser,blue,1
524,4,40,1,0,-17,869,loser,black,0
525,2,240,7,33,52,869,winner,green,1
526,4,0,1,0,-14,869,loser,purple,0
527,1,20,2,15,15,869,loser,blue,1
528,7,240,1,1,-26,868,loser,black,0
529,2,0,6,31,34,868,loser,green,1
530,3,60,0,2,-13,868,loser,purple,0
531,0,0,5,32,50,868,winner,blue,1
532,5,160,0,0,-27,867,loser,black,0
533,0,0,3,17,27,867,loser,green,1
534,3,20,0,0,-15,867,loser,purple,0
535,1,0,6,32,53,867,winner,blue,1
536,6,60,0,1,-29,866,loser,black,0
537,3,120,8,44,51,866,winner,green,1
538,3,120,0,1,-13,866,loser,purple,0
539,2,0,6,37,45,866,loser,blue,1
540,5,60,0,1,-24,865,loser,black,0
541,1,40,4,24,32,865,loser,green,1
542,4,0,1,0,-14,865,loser,purple,0
543,2,20,7,40,51,865,winner,blue,1
544,3,0,1,1,-8,864,loser,black,0
545,3,20,8,35,53,864,winner,green,1
546,7,160,1,1,-28,864,loser,purple,0
547,2,80,5,33,36,864,loser,blue,1
548,4,0,1,0,-14,863,loser,black,0
549,3,100,7,37,50,863,winner,green,1
550,5,160,0,1,-24,863,loser,purple,0
551,2,0,6,39,40,863,loser,blue,1
552,5,280,0,3,-25,862,loser,black,0
553,1,20,5,38,46,862,loser,green,1
554,4,140,0,2,-18,862,loser,purple,0
555,1,80,6,44,50,862,winner,blue,1
556,4,140,1,1,-15,861,loser,black,0
557,0,40,4,29,33,861,loser,green,1
558,5,40,0,0,-27,861,loser,purple,0
559,1,0,5,34,50,861,winner,blue,1
560,8,80,0,2,-37,860,loser,black,0
561,1,120,7,35,52,860,winner,green,1
562,3,0,0,1,-13,860,loser,purple,0
563,0,0,5,32,49,860,loser,blue,1
564,4,0,0,0,-20,859,loser,black,0
565,2,120,5,16,33,859,loser,green,1
566,4,0,0,0,-20,859,loser,purple,0
567,2,160,7,43,51,859,winner,blue,1
568,4,40,0,1,-18,858,loser,black,0
569,0,0,5,23,45,858,loser,green,1
570,7,80,0,0,-35,858,loser,purple,0
571,0,0,6,29,52,858,winner,blue,1
572,4,0,0,0,-20,857,loser,black,0
573,2,240,5,29,35,857,loser,green,1
574,4,0,0,1,-20,857,loser,purple,0
575,0,0,5,35,50,857,winner,blue,1
576,5,140,0,3,-19,856,loser,black,0
577,0,80,5,29,50,856,winner,green,1
578,4,200,0,4,-22,856,loser,purple,0
579,0,0,4,21,36,856,loser,blue,1
580,6,360,1,0,-26,855,loser,black,0
581,1,0,6,51,50,855,winner,green,1
582,3,300,0,0,-16,855,loser,purple,0
583,0,0,3,31,29,855,loser,blue,1
584,5,20,1,1,-18,854,loser,black,0
585,1,100,6,28,51,854,winner,green,1
586,5,20,1,1,-17,854,loser,purple,0
587,1,80,4,31,30,854,loser,blue,1
588,3,20,1,0,-9,853,loser,black,0
589,1,100,2,16,20,853,loser,green,1
590,5,0,1,1,-18,853,loser,purple,0
591,1,180,6,46,50,853,winner,blue,1
592,6,140,0,0,-30,852,loser,black,0
593,1,140,5,41,45,852,loser,green,1
594,3,140,0,2,-14,852,loser,purple,0
595,1,160,6,43,53,852,winner,blue,1
596,4,160,0,0,-20,851,loser,black,0
597,0,20,6,37,52,851,winner,green,1
598,6,60,0,0,-29,851,loser,purple,0
599,2,40,6,29,44,851,loser,blue,1
600,3,200,0,0,-17,850,loser,black,0
601,1,40,5,42,50,850,winner,green,1
602,2,40,0,0,-12,850,loser,purple,0
603,2,280,3,27,18,850,loser,blue,1
604,5,240,0,1,-25,849,loser,black,0
605,1,160,4,31,36,849,loser,green,1
606,3,200,0,0,-16,849,loser,purple,0
607,1,100,6,40,50,849,winner,blue,1
608,5,100,1,5,-17,848,loser,black,0
609,1,20,6,38,50,848,winner,green,1
610,4,0,0,1,-18,848,loser,purple,0
611,2,60,5,40,38,848,loser,blue,1
612,3,0,0,0,-15,847,loser,black,0
613,1,20,1,4,3,847,loser,green,1
614,2,20,0,1,-10,847,loser,purple,0
615,1,40,6,31,53,847,winner,blue,1
616,4,240,1,5,-13,846,loser,black,0
617,4,340,6,36,30,846,loser,green,1
618,3,220,1,7,-3,846,loser,purple,0
619,3,500,6,46,51,846,winner,blue,1
620,4,100,0,0,-21,845,loser,black,0
621,1,80,5,34,43,845,loser,green,1
622,5,220,0,2,-23,845,loser,purple,0
623,1,80,6,35,50,845,winner,blue,1
624,3,80,0,0,-15,844,loser,black,0
625,3,140,3,22,14,844,loser,green,1
626,2,160,0,1,-9,844,loser,purple,0
627,1,0,6,36,50,844,winner,blue,1
628,1,200,1,4,1,843,loser,black,0
629,1,120,6,38,51,843,winner,green,1
630,8,680,0,7,-32,843,loser,purple,0
631,2,280,5,43,41,843,loser,blue,1
632,4,0,1,2,-13,842,loser,black,0
